identifier,model,mae,rmse,mape,mean_traffic,training_time,status
4051 - -1,lstm,6.319671590034276,8.595641911111109,106.74276072119575,13.337328767123287,4.3016064167022705,success
4051 - 16200,lstm,25.768580671859112,36.860212745120656,138.40088875325765,77.57191780821918,4.262520790100098,success
4051 - 5949,lstm,18.560913097368527,23.006090564014947,89.80295206398817,55.24315068493151,4.284533739089966,success
4057 - 16973,lstm,34.98819303174391,48.18377008632451,336.67872178007156,71.21985815602837,4.272406339645386,success
4057 - 17051,lstm,23.846493433553277,30.799764213818495,102.631732400915,94.48049645390071,4.211230516433716,success
4057 - 6732,lstm,25.566545460322132,31.526636702747187,165.25281707097312,77.19691780821918,4.333771705627441,success
4057 - 6810,lstm,28.9129239729006,39.12686503952664,208.77481981360515,77.75856164383562,4.298702239990234,success
4063 - 17050,lstm,21.472577049307628,26.066260175021178,156.66102068225683,77.73801369863014,4.377987384796143,success
4063 - 17057,lstm,21.657858414192724,28.947955990544216,74.77754842524487,91.07020547945206,4.3404645919799805,success
4063 - 6811,lstm,18.94375587489507,23.731299173723105,142.4414590106161,81.52397260273973,4.250300645828247,success
4063 - 6818,lstm,22.022001674730483,27.757403637511782,79.07088915527758,82.0291095890411,4.3466362953186035,success
4262 - 4240,lstm,42.996352946171996,53.24517187999574,71.71513983237669,123.26844262295081,4.3217103481292725,success
4263 - 14482,lstm,32.63360773149084,51.10169233569478,68.19693751897383,106.57991803278688,4.190016746520996,success
4263 - 16537,lstm,34.18634151239864,41.70621246903494,131.1673967123257,111.48770491803279,4.1888227462768555,success
4263 - 4241,lstm,28.974425417477967,35.0262269040203,82.9138293064631,90.68237704918033,4.018191576004028,success
4263 - 6300,lstm,30.464683743773914,40.87197883001501,113.67430755816,117.12909836065573,4.006505727767944,success
4264 - 14481,lstm,42.60352051094787,61.22883135101509,99.10771242479207,128.96917808219177,4.415516138076782,success
4264 - 14643,lstm,20.396604774642164,24.018153954139883,56.36184891826743,80.74209245742092,3.82157039642334,success
4264 - 4242,lstm,33.38134512835986,40.44852223646268,66.40535831607782,119.5736301369863,4.310447454452515,success
4264 - 4401,lstm,14.994436430604491,18.461820013926395,51.68150160027226,82.46917808219177,4.3787055015563965,success
4266 - 14480,lstm,40.30867552430662,55.01422529132458,132.70663962623524,113.3458904109589,4.387504816055298,success
4266 - 14635,lstm,20.73885710925272,25.303795103758226,101.53013707714402,95.57020547945206,7.906649589538574,success
4266 - 4243,lstm,31.786194027286687,40.287720223790615,50.94864842812768,123.28595890410959,4.753361940383911,success
4266 - 4397,lstm,24.302265405654907,31.153154269263005,109.94176257179795,115.54623287671232,4.714684247970581,success
4270 - 14520,lstm,22.720307941306128,29.719448138823964,66.96083444576847,103.54623287671232,4.64166522026062,success
4270 - 14642,lstm,17.861678590513254,21.21372293628564,66.20528358613394,87.02739726027397,4.6365556716918945,success
4270 - 4274,lstm,29.367785538712592,35.70567223527525,62.97950065345257,110.06164383561644,4.680671691894531,success
4270 - 4402,lstm,20.763848618285298,25.179812061796536,88.80008264337789,73.18835616438356,4.42721962928772,success
4272 - 14518,lstm,30.88222065715925,42.97620359890164,107.87415896056103,93.91312056737588,4.509105443954468,success
4272 - 14666,lstm,12.781105219049657,16.584746283501826,89.96983912907724,53.051418439716315,4.382935523986816,success
4272 - 4276,lstm,29.190229764221407,37.28925901777298,69.50359350220735,108.22517730496453,4.363714933395386,success
4273 - 12527,lstm,35.21213665400466,43.22370255156313,85.96289128491625,135.6335616438356,4.4213948249816895,success
4273 - 4423,lstm,29.809518745500746,39.121932710224456,215.8307640555329,76.45376712328768,4.727998733520508,success
4321 - 15002,lstm,23.39879121192514,33.10322054378877,173.03343049320557,65.63527397260275,4.568880796432495,success
4321 - 15721,lstm,30.599574539759388,45.7639432947873,220.22160967910997,65.95376712328768,4.429550647735596,success
4321 - 4746,lstm,13.251107584940245,15.899636020450817,101.58398568027509,54.71404109589041,4.407634258270264,success
4321 - 5485,lstm,31.105405346988,39.27378246509077,129.99701347004304,82.11130136986301,4.243844032287598,success
4324 - 14646,lstm,15.625415571748395,19.632519476756276,90.4193338417612,51.101027397260275,4.3472981452941895,success
4324 - 16859,lstm,33.68565207964753,48.50022691606237,154.1943256976536,87.61472602739725,4.3450706005096436,success
4324 - 6621,lstm,19.422780748915997,23.92509821744654,97.03592066862984,79.21575342465754,4.5299904346466064,success
4812 - 16535,lstm,41.956772640103196,50.97863478763229,210.94892755973422,106.92827868852459,4.0956175327301025,success
4812 - 4250,lstm,23.185447786675123,28.250473743070575,69.30459665627016,80.47131147540983,4.07834005355835,success
4812 - 6302,lstm,24.61334837069277,32.13252213298458,86.24164629600304,66.93442622950819,4.035301446914673,success
4821 - -1,lstm,3.0028150359245194,4.176071955927936,67.24175240979251,3.203767123287671,4.571794033050537,success
4821 - 14527,lstm,23.53163403027678,28.78992496167178,102.35403961954094,70.12157534246575,4.312877655029297,success
4821 - 16911,lstm,29.9702255889161,42.447026007489264,68.16246969063269,128.861301369863,4.478230714797974,success
4821 - 6673,lstm,26.480457397356425,31.896775223999832,51.361330581902536,126.80993150684931,4.330079555511475,success
