,SCATS Number,Location,CD_MELWAY,NB_LATITUDE,NB_LONGITUDE,HF VicRoads Internal,VR Internal Stat,VR Internal Loc,NB_TYPE_SURVEY,Date,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,Identifier
692,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-22,1,0,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,4,1,2,3,4,8,6,6,9,6,10,6,4,7,9,11,7,8,8,12,9,5,3,5,7,12,3,9,5,7,3,2,7,16,12,11,9,6,9,9,2,3,4,7,0,5,1,4,1,5,1,3,4,3,0,4,1,1,2,1,0,1,2,0,2846 - -1
693,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,1,3,6,4,11,11,9,16,19,18,14,10,10,11,10,9,9,6,11,4,10,8,12,9,12,4,13,8,10,14,13,5,6,4,11,10,25,21,16,16,20,17,14,28,19,25,31,43,21,15,0,0,7,4,9,4,3,6,3,5,5,4,0,2,1,4,2,2,0,4,1,2846 - -1
694,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-24,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,1,3,2,2,17,10,18,28,24,19,15,13,12,10,12,7,8,9,18,10,12,4,12,7,12,9,13,14,8,11,14,11,9,14,13,16,11,28,17,22,20,16,23,17,15,26,15,27,16,30,10,15,4,10,18,4,6,4,2,2,6,6,1,4,1,4,0,2,6,4,1,2846 - -1
695,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-25,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,2,3,4,5,8,12,21,23,18,23,15,11,13,8,13,9,16,9,14,11,16,12,12,9,10,11,14,7,13,6,8,7,6,4,13,11,14,25,14,14,22,18,23,25,20,26,36,34,24,25,12,15,13,6,0,0,9,7,4,5,9,5,6,5,3,2,4,1,0,0,0,2846 - -1
696,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-26,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,2,1,2,5,6,10,12,21,26,17,28,17,9,16,13,11,11,16,9,8,9,8,7,13,10,13,8,11,6,8,11,14,9,9,9,8,13,15,17,18,19,11,20,20,25,26,29,30,23,12,21,22,9,18,13,6,9,1,5,2,5,7,4,7,6,5,3,3,4,0,0,0,2846 - -1
697,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,3,1,0,5,5,5,11,12,16,25,29,19,11,10,11,12,15,8,14,9,10,10,11,7,7,8,13,13,0,0,10,14,15,9,17,7,10,18,19,15,24,24,19,17,19,24,19,30,23,28,22,18,17,8,11,11,11,3,5,4,4,3,2,6,2,2,1,2,6,5,3,6,2,2846 - -1
698,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-28,0,1,2,4,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,2,3,0,1,3,10,9,6,3,8,11,7,7,1,12,6,14,15,12,15,18,20,14,11,13,12,11,15,0,0,10,11,16,10,12,10,8,8,7,7,8,4,13,9,6,8,11,14,6,4,3,9,5,4,3,8,3,4,3,3,3,2,3,0,2,1,3,0,3,2846 - -1
699,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-29,2,1,2,3,1,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,1,2,2,4,2,5,2,5,7,3,8,4,9,11,9,9,7,7,12,8,7,5,7,10,8,7,10,7,5,5,9,6,11,3,9,11,9,6,8,5,6,11,7,1,3,5,12,7,3,1,5,3,1,2,2,3,2,0,4,2,4,1,3,2,1,1,2846 - -1
700,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-30,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,2,6,7,18,10,17,22,26,12,14,12,7,13,12,6,12,11,8,9,14,9,9,10,12,9,0,0,11,4,15,8,16,6,11,20,19,25,14,17,13,17,18,23,21,19,22,18,32,29,11,18,9,3,9,2,7,3,3,3,0,1,3,2,2,3,5,1,0,2,2,2846 - -1
701,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-31,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0,2,12,11,24,27,23,18,14,9,12,13,14,12,14,5,9,6,11,8,7,6,13,5,14,6,9,9,15,5,11,6,9,13,19,27,13,14,16,20,22,18,16,29,20,32,12,24,23,16,14,7,13,13,3,7,9,3,5,4,7,1,2,0,2,4,2,3,2,2846 - -1
